candidate_id,stem,seed,source_row_index,neoplastic_centroid_count,inflammatory_centroid_count,candidate_order,seed_index,config_id,green_sd,controlnet_strength,denoising_steps,spatial_score
candidate_0000,TCGA-A2-A0CW_x65536_y47104_TL,1096937707,1,3,123,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.8810810810810811
candidate_0001,TCGA-AR-A24Z_x34816_y44032_BR,1913044195,3,7,2,15,7,cfg01_gm1_c2_s30,-1.0,2.0,30,0.9130434782608696
candidate_0002,TCGA-AR-A0TW_x99328_y41984_BR,2122398935,4,20,15,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8
candidate_0003,TCGA-A8-A0A7_x18432_y9216_TR,1257559958,5,33,7,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7619047619047619
candidate_0004,TCGA-GM-A2DA_x5120_y24576_BR,1435289796,7,9,13,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.875
candidate_0005,TCGA-UU-A93S_x23552_y41984_BR,23472875,9,61,4,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.8839285714285714
candidate_0006,TCGA-D8-A1XF_x26624_y22528_TR,42342217,10,53,1,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.7634408602150538
candidate_0007,TCGA-A2-A0EQ_x105472_y23552_TL,1597131675,11,37,40,13,5,cfg01_gm1_c2_s30,-1.0,2.0,30,0.7
candidate_0008,TCGA-A8-A06T_x10240_y13312_BR,1758534349,13,11,10,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.8666666666666667
candidate_0009,TCGA-AQ-A7U7_x41984_y48128_TL,1840774491,14,9,1,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.8387096774193549
candidate_0010,TCGA-AR-A1AR_x38912_y13312_BL,802091859,15,135,25,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.8944444444444445
candidate_0011,TCGA-A2-A0CZ_x78848_y43008_TR,167164558,17,9,6,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.8301886792452831
candidate_0012,TCGA-LL-A5YL_x36864_y37888_TL,1264243056,18,14,5,14,6,cfg01_gm1_c2_s30,-1.0,2.0,30,0.7142857142857143
candidate_0013,TCGA-AO-A0JD_x40960_y11264_TR,1561600353,19,7,259,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.9174311926605504
candidate_0014,TCGA-GM-A2D9_x53248_y64512_TL,787504541,20,80,3,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.8773584905660378
candidate_0015,TCGA-D8-A1X9_x9216_y58368_BR,383005104,21,13,1,12,4,cfg01_gm1_c2_s30,-1.0,2.0,30,0.7959183673469388
candidate_0016,TCGA-AR-A0TR_x104448_y31744_BL,1370209522,22,78,1,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.8850574712643678
candidate_0017,TCGA-S3-AA15_x80896_y52224_BL,1271353021,24,8,303,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.9415384615384615
candidate_0018,TCGA-A1-A0SB_x77824_y47104_BR,843410356,26,154,1,2,2,cfg00_g0_c2_s30,0.0,2.0,30,1.0
candidate_0019,TCGA-D8-A1XG_x12288_y35840_TL,2080644057,28,17,5,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.8888888888888888
candidate_0020,TCGA-BH-A18R_x28672_y33792_TL,1457843113,29,101,1,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.961904761904762
candidate_0021,TCGA-B6-A0X0_x72704_y56320_BR,1075448289,30,122,3,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.9615384615384616
candidate_0022,TCGA-BH-A18L_x44032_y52224_TL,1940968207,33,52,52,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.78125
candidate_0023,TCGA-A8-A07E_x33792_y91136_TL,1111783128,34,16,2,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.7804878048780488
candidate_0024,TCGA-A8-A06Q_x20480_y13312_TL,1200509145,35,11,3,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.7735849056603774
candidate_0025,TCGA-C8-A138_x14336_y41984_BL,461249147,36,60,1,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.8309859154929577
candidate_0026,TCGA-BH-A28O_x31744_y19456_BL,620505953,38,4,2,14,6,cfg01_gm1_c2_s30,-1.0,2.0,30,0.9310344827586208
