image_path,image_name,label,is_good
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AR-A1AV_x25600_y49152_BR.png,TCGA-AR-A1AV_x25600_y49152_BR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-C8-A1HF_x45056_y38912_TR.png,TCGA-C8-A1HF_x45056_y38912_TR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AN-A0FD_x73728_y40960_TL.png,TCGA-AN-A0FD_x73728_y40960_TL,BRCA.Luminal,0
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AO-A12F_x26624_y16384_TL.png,TCGA-AO-A12F_x26624_y16384_TL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0EQ_x99328_y17408_TR.png,TCGA-A2-A0EQ_x99328_y17408_TR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-BH-A18P_x50176_y37888_BL.png,TCGA-BH-A18P_x50176_y37888_BL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A8-A076_x82944_y63488_BL.png,TCGA-A8-A076_x82944_y63488_BL,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-AN-A0AJ_x39936_y45056_BL.png,TCGA-AN-A0AJ_x39936_y45056_BL,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-E2-A1BC_x14336_y48128_BR.png,TCGA-E2-A1BC_x14336_y48128_BR,BRCA.Luminal,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A04W_x64512_y48128_BR.png,TCGA-A2-A04W_x64512_y48128_BR,BRCA.HER2-enriched,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0D0_x60416_y26624_TL.png,TCGA-A2-A0D0_x60416_y26624_TL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A04U_x75776_y12288_TL.png,TCGA-A2-A04U_x75776_y12288_TL,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A2-A0CM_x16384_y51200_BR.png,TCGA-A2-A0CM_x16384_y51200_BR,BRCA.Basal-like,1
C:\Users\samar\Documents\CVPR\Interpretation\CellVit\CellViT-plus-plus-main\results\512_final_dataset\images\TCGA-A1-A0SK_x79872_y52224_BR.png,TCGA-A1-A0SK_x79872_y52224_BR,BRCA.Basal-like,1
